楽曲名,難易度,レベル,MAX
リズの内心革命,EXHAUST,13,4453
リズの内心革命,INFINITE,16,6281
柳の下のデュラハン hard chaos mix,NOVICE,6,-1
柳の下のデュラハン hard chaos mix,ADVANCED,12,-1
柳の下のデュラハン hard chaos mix,EXHAUST,17,6146
ぼくらのタイムカプセル,NOVICE,4,-1
ぼくらのタイムカプセル,ADVANCED,11,-1
ぼくらのタイムカプセル,EXHAUST,15,5308
Flying!,NOVICE,3,-1
Flying!,ADVANCED,10,-1
Flying!,EXHAUST,13,3444
幻想浄瑠璃-Aya2g Tech Dance Remix-,NOVICE,3,-1
幻想浄瑠璃-Aya2g Tech Dance Remix-,ADVANCED,9,-1
幻想浄瑠璃-Aya2g Tech Dance Remix-,EXHAUST,15,4312
キリトリセン,NOVICE,3,-1
キリトリセン,ADVANCED,9,-1
キリトリセン,EXHAUST,13,4248
Wave of Craze,NOVICE,5,-1
Wave of Craze,ADVANCED,11,-1
Wave of Craze,EXHAUST,15,3843
悪性ロリィタマキャヴェリズム,NOVICE,6,-1
悪性ロリィタマキャヴェリズム,ADVANCED,12,-1
悪性ロリィタマキャヴェリズム,EXHAUST,17,5488
Cleopatrysm,NOVICE,6,-1
Cleopatrysm,ADVANCED,12,-1
Cleopatrysm,EXHAUST,15,4709
Cleopatrysm,INFINITE,16,4944
KHAMEN BREAK,NOVICE,5,-1
KHAMEN BREAK,ADVANCED,12,-1
KHAMEN BREAK,EXHAUST,16,6304
KHAMEN BREAK,INFINITE,16,7046
御千手メディテーション,NOVICE,6,-1
御千手メディテーション,ADVANCED,12,-1
御千手メディテーション,EXHAUST,15,5149
御千手メディテーション,INFINITE,17,5792
INSECTICIDE,NOVICE,6,-1
INSECTICIDE,ADVANCED,12,-1
INSECTICIDE,EXHAUST,18,7033
INSECTICIDE,HEAVENLY,19,7593
Wuv U -More2 HAPPY Re-Mix Special-,NOVICE,5,-1
Wuv U -More2 HAPPY Re-Mix Special-,ADVANCED,10,-1
Wuv U -More2 HAPPY Re-Mix Special-,EXHAUST,15,4773
Monkey Business (lapix Remix),NOVICE,5,-1
Monkey Business (lapix Remix),ADVANCED,10,-1
Monkey Business (lapix Remix),EXHAUST,16,4371
FIRE FIRE -DARK BLAZE REMIX-,NOVICE,6,-1
FIRE FIRE -DARK BLAZE REMIX-,ADVANCED,13,3822
FIRE FIRE -DARK BLAZE REMIX-,EXHAUST,17,6251
sweet dream,NOVICE,2,-1
sweet dream,ADVANCED,9,-1
sweet dream,EXHAUST,13,4275
The Wind of Gold (folkcore remix),NOVICE,4,-1
The Wind of Gold (folkcore remix),ADVANCED,9,-1
The Wind of Gold (folkcore remix),EXHAUST,14,4065
最果てのコトバ,NOVICE,2,-1
最果てのコトバ,ADVANCED,8,-1
最果てのコトバ,EXHAUST,12,3857
コミカルなミシャグジとラジエーション(PUNK IT ver.),NOVICE,4,-1
コミカルなミシャグジとラジエーション(PUNK IT ver.),ADVANCED,10,-1
コミカルなミシャグジとラジエーション(PUNK IT ver.),EXHAUST,15,4660
gigadelic -stance xxxx-,NOVICE,5,-1
gigadelic -stance xxxx-,ADVANCED,11,-1
gigadelic -stance xxxx-,EXHAUST,17,5815
朱と碧のランページ,NOVICE,5,-1
朱と碧のランページ,ADVANCED,13,3889
朱と碧のランページ,EXHAUST,17,5647
僕は空気が嫁ない,NOVICE,4,-1
僕は空気が嫁ない,ADVANCED,10,-1
僕は空気が嫁ない,EXHAUST,15,4807
ナキムシロボ,NOVICE,3,-1
ナキムシロボ,ADVANCED,10,-1
ナキムシロボ,EXHAUST,13,4726
白い雪のプリンセスは,NOVICE,5,-1
白い雪のプリンセスは,ADVANCED,10,-1
白い雪のプリンセスは,EXHAUST,15,6549
有頂天ビバーチェ,NOVICE,6,-1
有頂天ビバーチェ,ADVANCED,11,-1
有頂天ビバーチェ,EXHAUST,16,4966
はわわｗ！な展開っ！,NOVICE,4,-1
はわわｗ！な展開っ！,ADVANCED,11,-1
はわわｗ！な展開っ！,EXHAUST,15,5831
はわわｗ！な展開っ！,GRAVITY,16,6879
CODE -CRiMSON-,NOVICE,6,-1
CODE -CRiMSON-,ADVANCED,12,-1
CODE -CRiMSON-,EXHAUST,17,6961
CODE -CRiMSON-,GRAVITY,18,6717
Growth Memories,NOVICE,6,-1
Growth Memories,ADVANCED,12,-1
Growth Memories,EXHAUST,18,7327
Growth Memories,GRAVITY,19,7421
Wish upon Twin Stars,NOVICE,5,-1
Wish upon Twin Stars,ADVANCED,11,-1
Wish upon Twin Stars,EXHAUST,17,6291
Wish upon Twin Stars,GRAVITY,18,7966
Appliqué,NOVICE,5,-1
Appliqué,ADVANCED,11,-1
Appliqué,EXHAUST,16,6133
Appliqué,GRAVITY,17,7212
打打打打打打打打打打,NOVICE,6,-1
打打打打打打打打打打,ADVANCED,11,-1
打打打打打打打打打打,EXHAUST,15,4170
打打打打打打打打打打,INFINITE,17,5989
ハウトゥー世界征服,NOVICE,3,-1
ハウトゥー世界征服,ADVANCED,9,-1
ハウトゥー世界征服,EXHAUST,14,3678
しんでしまうとはなさけない！,NOVICE,5,-1
しんでしまうとはなさけない！,ADVANCED,11,-1
しんでしまうとはなさけない！,EXHAUST,15,4904
Scene,NOVICE,4,-1
Scene,ADVANCED,10,-1
Scene,EXHAUST,13,3708
キミヱゴサーチ,NOVICE,3,-1
キミヱゴサーチ,ADVANCED,8,-1
キミヱゴサーチ,EXHAUST,11,2556
キミヱゴサーチ,INFINITE,16,4263
Little princess has no identity.,NOVICE,5,-1
Little princess has no identity.,ADVANCED,11,-1
Little princess has no identity.,EXHAUST,17,6105
Mist Tek,NOVICE,4,-1
Mist Tek,ADVANCED,9,-1
Mist Tek,EXHAUST,16,5234
Pristine Bigband,NOVICE,5,-1
Pristine Bigband,ADVANCED,10,-1
Pristine Bigband,EXHAUST,15,5360
werewolf howls.,NOVICE,6,-1
werewolf howls.,ADVANCED,12,-1
werewolf howls.,EXHAUST,18,6869
Attack on Dwarf,NOVICE,4,-1
Attack on Dwarf,ADVANCED,10,-1
Attack on Dwarf,EXHAUST,14,3876
further the future,NOVICE,4,-1
further the future,ADVANCED,8,-1
further the future,EXHAUST,15,4038
始まりへと続く帰り道,NOVICE,2,-1
始まりへと続く帰り道,ADVANCED,7,-1
始まりへと続く帰り道,EXHAUST,12,3768
断片Story,NOVICE,4,-1
断片Story,ADVANCED,11,-1
断片Story,EXHAUST,16,5409
shiny rainbow flower,NOVICE,5,-1
shiny rainbow flower,ADVANCED,10,-1
shiny rainbow flower,EXHAUST,15,4706
VILE CAT,NOVICE,5,-1
VILE CAT,ADVANCED,11,-1
VILE CAT,EXHAUST,18,8030
アルテミス,NOVICE,3,-1
アルテミス,ADVANCED,10,-1
アルテミス,EXHAUST,13,4325
I love you even now,NOVICE,3,-1
I love you even now,ADVANCED,9,-1
I love you even now,EXHAUST,13,3263
Pure Evil-Aya2g Drm'n Tech Rmx-,NOVICE,6,-1
Pure Evil-Aya2g Drm'n Tech Rmx-,ADVANCED,12,-1
Pure Evil-Aya2g Drm'n Tech Rmx-,EXHAUST,17,5964
Virtual Sunrise (xac remix),NOVICE,4,-1
Virtual Sunrise (xac remix),ADVANCED,10,-1
Virtual Sunrise (xac remix),EXHAUST,15,5358
The Sampling Paradise (N-Driver Style),NOVICE,5,-1
The Sampling Paradise (N-Driver Style),ADVANCED,12,-1
The Sampling Paradise (N-Driver Style),EXHAUST,16,5016
Our Faith (Faithful MTL Remix),NOVICE,5,-1
Our Faith (Faithful MTL Remix),ADVANCED,11,-1
Our Faith (Faithful MTL Remix),EXHAUST,17,6789
Rubeus,NOVICE,6,-1
Rubeus,ADVANCED,11,-1
Rubeus,EXHAUST,17,5767
Liming Light,NOVICE,4,-1
Liming Light,ADVANCED,10,-1
Liming Light,EXHAUST,13,4716
物凄い狂っとるフランちゃんが物凄いうた,NOVICE,5,-1
物凄い狂っとるフランちゃんが物凄いうた,ADVANCED,11,-1
物凄い狂っとるフランちゃんが物凄いうた,EXHAUST,17,5562
MEGANE,NOVICE,1,-1
MEGANE,ADVANCED,8,-1
MEGANE,EXHAUST,12,3262
ぼくらしかしらない,NOVICE,5,-1
ぼくらしかしらない,ADVANCED,10,-1
ぼくらしかしらない,EXHAUST,17,5937
星屑ユートピア,NOVICE,2,-1
星屑ユートピア,ADVANCED,7,-1
星屑ユートピア,EXHAUST,12,4711
Belly Flopper,NOVICE,4,-1
Belly Flopper,ADVANCED,10,-1
Belly Flopper,EXHAUST,15,5043
bloom,NOVICE,3,-1
bloom,ADVANCED,9,-1
bloom,EXHAUST,13,4200
Find the Answer,NOVICE,2,-1
Find the Answer,ADVANCED,8,-1
Find the Answer,EXHAUST,12,2759
FIRE FIRE(Kazmasa Remix),NOVICE,6,-1
FIRE FIRE(Kazmasa Remix),ADVANCED,11,-1
FIRE FIRE(Kazmasa Remix),EXHAUST,17,6435
Pieces,NOVICE,1,-1
Pieces,ADVANCED,8,-1
Pieces,EXHAUST,12,3352
飛花落葉,NOVICE,3,-1
飛花落葉,ADVANCED,10,-1
飛花落葉,EXHAUST,14,4615
Violet Soul,NOVICE,4,-1
Violet Soul,ADVANCED,10,-1
Violet Soul,EXHAUST,16,5186
Virtual Sunrise (MYTK Remix),NOVICE,3,-1
Virtual Sunrise (MYTK Remix),ADVANCED,9,-1
Virtual Sunrise (MYTK Remix),EXHAUST,13,4169
Hyper☆Chipspace,NOVICE,5,-1
Hyper☆Chipspace,ADVANCED,9,-1
Hyper☆Chipspace,EXHAUST,16,5473
Never Regret Anything,NOVICE,3,-1
Never Regret Anything,ADVANCED,9,-1
Never Regret Anything,EXHAUST,16,5193
ナイフ,NOVICE,4,-1
ナイフ,ADVANCED,10,-1
ナイフ,EXHAUST,15,5384
トリコロール・ダイアリー,NOVICE,5,-1
トリコロール・ダイアリー,ADVANCED,11,-1
トリコロール・ダイアリー,EXHAUST,16,5391
月見夜ラビット,NOVICE,5,-1
月見夜ラビット,ADVANCED,11,-1
月見夜ラビット,EXHAUST,15,5920
SkyDrive!,NOVICE,3,-1
SkyDrive!,ADVANCED,9,-1
SkyDrive!,EXHAUST,15,4232
Jump!,NOVICE,4,-1
Jump!,ADVANCED,10,-1
Jump!,EXHAUST,13,4622
しゅわスパ大作戦☆ - SDVX Edit. -,NOVICE,2,-1
しゅわスパ大作戦☆ - SDVX Edit. -,ADVANCED,9,-1
しゅわスパ大作戦☆ - SDVX Edit. -,EXHAUST,13,3229
The Wind of Gold -HΔPPY MIX-,NOVICE,4,-1
The Wind of Gold -HΔPPY MIX-,ADVANCED,10,-1
The Wind of Gold -HΔPPY MIX-,EXHAUST,15,4036
最速最高シャッターガール,NOVICE,5,-1
最速最高シャッターガール,ADVANCED,11,-1
最速最高シャッターガール,EXHAUST,16,5894
鎖の少女,NOVICE,4,-1
鎖の少女,ADVANCED,10,-1
鎖の少女,EXHAUST,15,4116
gigadelic(m3rkAb4# R3m!x),NOVICE,6,-1
gigadelic(m3rkAb4# R3m!x),ADVANCED,11,-1
gigadelic(m3rkAb4# R3m!x),EXHAUST,17,6398
木彫り鯰と右肩ゾンビ,NOVICE,3,-1
木彫り鯰と右肩ゾンビ,ADVANCED,8,-1
木彫り鯰と右肩ゾンビ,EXHAUST,13,3955
F.K.S.,NOVICE,6,-1
F.K.S.,ADVANCED,11,-1
F.K.S.,EXHAUST,17,5371
イグジスタンス,NOVICE,5,-1
イグジスタンス,ADVANCED,12,-1
イグジスタンス,EXHAUST,17,6216
ポメグラネイト,NOVICE,4,-1
ポメグラネイト,ADVANCED,9,-1
ポメグラネイト,EXHAUST,16,4202
ポメグラネイト,GRAVITY,17,4110
Liminality,NOVICE,4,-1
Liminality,ADVANCED,9,-1
Liminality,EXHAUST,16,4772
メイガスナイト ～ Arr.Demetori,NOVICE,5,-1
メイガスナイト ～ Arr.Demetori,ADVANCED,10,-1
メイガスナイト ～ Arr.Demetori,EXHAUST,16,4690
The Starry true,NOVICE,2,-1
The Starry true,ADVANCED,7,-1
The Starry true,EXHAUST,12,2530
THUNDERCRACK,NOVICE,5,-1
THUNDERCRACK,ADVANCED,11,-1
THUNDERCRACK,EXHAUST,17,5476
Hustle Beat!!,NOVICE,4,-1
Hustle Beat!!,ADVANCED,10,-1
Hustle Beat!!,EXHAUST,15,4705
TU-MA-MI△ALL-NIGHTER,NOVICE,2,-1
TU-MA-MI△ALL-NIGHTER,ADVANCED,10,-1
TU-MA-MI△ALL-NIGHTER,EXHAUST,16,4236
Twin Rocket,NOVICE,5,-1
Twin Rocket,ADVANCED,11,-1
Twin Rocket,EXHAUST,17,5466
きらきらタイム☆,NOVICE,5,-1
きらきらタイム☆,ADVANCED,11,-1
きらきらタイム☆,EXHAUST,17,6216
感情Xerography,NOVICE,4,-1
感情Xerography,ADVANCED,9,-1
感情Xerography,EXHAUST,14,3680
恋愛方程式,NOVICE,3,-1
恋愛方程式,ADVANCED,8,-1
恋愛方程式,EXHAUST,13,3478
Prelude-Hereafter-,NOVICE,4,-1
Prelude-Hereafter-,ADVANCED,10,-1
Prelude-Hereafter-,EXHAUST,15,5502
False Cross,NOVICE,5,-1
False Cross,ADVANCED,11,-1
False Cross,EXHAUST,17,6331
Scarlet Pinheel,NOVICE,4,-1
Scarlet Pinheel,ADVANCED,10,-1
Scarlet Pinheel,EXHAUST,16,5826
ツギハギスタッカート,NOVICE,2,-1
ツギハギスタッカート,ADVANCED,8,-1
ツギハギスタッカート,EXHAUST,13,3581
幸せになれる隠しコマンドがあるらしい,NOVICE,6,-1
幸せになれる隠しコマンドがあるらしい,ADVANCED,12,-1
幸せになれる隠しコマンドがあるらしい,EXHAUST,16,5100
鬼KYOKAN,NOVICE,4,-1
鬼KYOKAN,ADVANCED,11,-1
鬼KYOKAN,EXHAUST,16,5671
Pure Evil (Kobaryo FTN-Remix),NOVICE,6,-1
Pure Evil (Kobaryo FTN-Remix),ADVANCED,13,3567
Pure Evil (Kobaryo FTN-Remix),EXHAUST,17,6474
脱獄,NOVICE,4,-1
脱獄,ADVANCED,9,-1
脱獄,EXHAUST,13,3960
心臓デモクラシー,NOVICE,3,-1
心臓デモクラシー,ADVANCED,8,-1
心臓デモクラシー,EXHAUST,13,4139
The Sampling Paradise (P*Light Remix),NOVICE,5,-1
The Sampling Paradise (P*Light Remix),ADVANCED,11,-1
The Sampling Paradise (P*Light Remix),EXHAUST,17,4962
君色サブリミナル(Arranged: Iceon),NOVICE,3,-1
君色サブリミナル(Arranged: Iceon),ADVANCED,9,-1
君色サブリミナル(Arranged: Iceon),EXHAUST,14,3800
囲い無き世は一期の月影,NOVICE,5,-1
囲い無き世は一期の月影,ADVANCED,10,-1
囲い無き世は一期の月影,EXHAUST,16,4633
ツーマンライブ,NOVICE,3,-1
ツーマンライブ,ADVANCED,8,-1
ツーマンライブ,EXHAUST,16,5921
ツーマンライブ,GRAVITY,16,5058
TIEFSEE,NOVICE,5,-1
TIEFSEE,ADVANCED,12,-1
TIEFSEE,EXHAUST,17,6960
INDEPENDENT SKY,NOVICE,5,-1
INDEPENDENT SKY,ADVANCED,9,-1
INDEPENDENT SKY,EXHAUST,13,4464
INDEPENDENT SKY,GRAVITY,17,6473
Go↓Go↑Girls&Boys!,NOVICE,4,-1
Go↓Go↑Girls&Boys!,ADVANCED,9,-1
Go↓Go↑Girls&Boys!,EXHAUST,15,4741
鬼天,NOVICE,6,-1
鬼天,ADVANCED,12,-1
鬼天,EXHAUST,17,5646
CRITICAL LINE,NOVICE,5,-1
CRITICAL LINE,ADVANCED,12,-1
CRITICAL LINE,EXHAUST,17,5255
macaron,NOVICE,5,-1
macaron,ADVANCED,10,-1
macaron,EXHAUST,15,5559
瞬間ドリップ♪秘蜜のケーキセット,NOVICE,5,-1
瞬間ドリップ♪秘蜜のケーキセット,ADVANCED,11,-1
瞬間ドリップ♪秘蜜のケーキセット,EXHAUST,16,4849
キモチコネクト,NOVICE,4,-1
キモチコネクト,ADVANCED,9,-1
キモチコネクト,EXHAUST,16,4611
キモチコネクト,GRAVITY,17,5883
World's end,NOVICE,6,-1
World's end,ADVANCED,12,-1
World's end,EXHAUST,18,6373
LegenD.,NOVICE,6,-1
LegenD.,ADVANCED,12,-1
LegenD.,EXHAUST,18,7405
2 MINUTES FIGHTERS,NOVICE,6,-1
2 MINUTES FIGHTERS,ADVANCED,12,-1
2 MINUTES FIGHTERS,EXHAUST,17,6585
2 MINUTES FIGHTERS,EXCEED,19,7895
Invitation from Mr.C,NOVICE,6,-1
Invitation from Mr.C,ADVANCED,12,-1
Invitation from Mr.C,EXHAUST,18,6782
Wuv U (Colorful QT3 nekomix),NOVICE,4,-1
Wuv U (Colorful QT3 nekomix),ADVANCED,10,-1
Wuv U (Colorful QT3 nekomix),EXHAUST,16,5096
無気力クーデター,NOVICE,5,-1
無気力クーデター,ADVANCED,11,-1
無気力クーデター,EXHAUST,17,5832
Borealis,NOVICE,5,-1
Borealis,ADVANCED,11,-1
Borealis,EXHAUST,17,6455
FIRE FIREは電気スウィングの夢を見るか？,NOVICE,5,-1
FIRE FIREは電気スウィングの夢を見るか？,ADVANCED,10,-1
FIRE FIREは電気スウィングの夢を見るか？,EXHAUST,16,5005
Paranoia,NOVICE,4,-1
Paranoia,ADVANCED,9,-1
Paranoia,EXHAUST,16,5540
tricky trick,NOVICE,5,-1
tricky trick,ADVANCED,10,-1
tricky trick,EXHAUST,18,7679
Scream out! (SDVX EDIT),NOVICE,5,-1
Scream out! (SDVX EDIT),ADVANCED,12,-1
Scream out! (SDVX EDIT),EXHAUST,16,5658
Just Be Friends,NOVICE,2,-1
Just Be Friends,ADVANCED,7,-1
Just Be Friends,EXHAUST,12,3712
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,NOVICE,6,-1
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,ADVANCED,12,-1
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,EXHAUST,17,7429
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,GRAVITY,18,9196
到達してしまった僕らと夢と希望の最之果,NOVICE,6,-1
到達してしまった僕らと夢と希望の最之果,ADVANCED,13,3909
到達してしまった僕らと夢と希望の最之果,EXHAUST,18,6664
Chant du Cygne,NOVICE,6,-1
Chant du Cygne,ADVANCED,12,-1
Chant du Cygne,EXHAUST,17,6393
Sayonara Planet Wars,NOVICE,6,-1
Sayonara Planet Wars,ADVANCED,13,4511
Sayonara Planet Wars,EXHAUST,18,8199
混乱少女♥そふらんちゃん!!,NOVICE,6,-1
混乱少女♥そふらんちゃん!!,ADVANCED,12,-1
混乱少女♥そふらんちゃん!!,EXHAUST,18,5378
Everlasting Message,NOVICE,7,-1
Everlasting Message,ADVANCED,13,4714
Everlasting Message,EXHAUST,17,6655
Everlasting Message,GRAVITY,19,8224
M.A.Y.U.,NOVICE,5,-1
M.A.Y.U.,ADVANCED,11,-1
M.A.Y.U.,EXHAUST,16,4645
Poison Blood,NOVICE,5,-1
Poison Blood,ADVANCED,11,-1
Poison Blood,EXHAUST,15,5249
女言葉の消失,NOVICE,3,-1
女言葉の消失,ADVANCED,10,-1
女言葉の消失,EXHAUST,13,3698
AYAKASHI,NOVICE,5,-1
AYAKASHI,ADVANCED,12,-1
AYAKASHI,EXHAUST,17,6245
朝色の紙飛行機,NOVICE,4,-1
朝色の紙飛行機,ADVANCED,11,-1
朝色の紙飛行機,EXHAUST,15,3703
Russian Caravan Rhapsody,NOVICE,4,-1
Russian Caravan Rhapsody,ADVANCED,9,-1
Russian Caravan Rhapsody,EXHAUST,15,4561
ホメ猫☆センセーション,NOVICE,4,-1
ホメ猫☆センセーション,ADVANCED,9,-1
ホメ猫☆センセーション,EXHAUST,16,5561
プレインエイジア -PHQ remix-,NOVICE,4,-1
プレインエイジア -PHQ remix-,ADVANCED,10,-1
プレインエイジア -PHQ remix-,EXHAUST,16,5261
BEAT-NEW-WORLD,NOVICE,4,-1
BEAT-NEW-WORLD,ADVANCED,11,-1
BEAT-NEW-WORLD,EXHAUST,17,6472
HAVOX,NOVICE,6,-1
HAVOX,ADVANCED,13,3787
HAVOX,EXHAUST,18,8530
NEON WORLD,NOVICE,3,-1
NEON WORLD,ADVANCED,10,-1
NEON WORLD,EXHAUST,17,6961
取り残された美術(Arranged:HiZuMi),NOVICE,2,-1
取り残された美術(Arranged:HiZuMi),ADVANCED,7,-1
取り残された美術(Arranged:HiZuMi),EXHAUST,13,3167
Struggle,NOVICE,3,-1
Struggle,ADVANCED,8,-1
Struggle,EXHAUST,13,4143
Scarlet Moon,NOVICE,4,-1
Scarlet Moon,ADVANCED,10,-1
Scarlet Moon,EXHAUST,16,5367
ほおずき程度には赤い頭髪,NOVICE,5,-1
ほおずき程度には赤い頭髪,ADVANCED,11,-1
ほおずき程度には赤い頭髪,EXHAUST,17,6326
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),NOVICE,4,-1
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),ADVANCED,10,-1
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),EXHAUST,16,4877
千年ノ理,NOVICE,3,-1
千年ノ理,ADVANCED,8,-1
千年ノ理,EXHAUST,14,4332
妖隠し -あやかしかくし-,NOVICE,4,-1
妖隠し -あやかしかくし-,ADVANCED,9,-1
妖隠し -あやかしかくし-,EXHAUST,16,3979
量子の海のリントヴルム,NOVICE,6,-1
量子の海のリントヴルム,ADVANCED,12,-1
量子の海のリントヴルム,EXHAUST,17,6477
Monkey Business -Satire mix-,NOVICE,5,-1
Monkey Business -Satire mix-,ADVANCED,11,-1
Monkey Business -Satire mix-,EXHAUST,16,5223
Virtual Sunrise (nana's Festival EDM Remix) feat. Kanae Asaba,NOVICE,2,-1
Virtual Sunrise (nana's Festival EDM Remix) feat. Kanae Asaba,ADVANCED,7,-1
Virtual Sunrise (nana's Festival EDM Remix) feat. Kanae Asaba,EXHAUST,12,2705
Discloze,NOVICE,5,-1
Discloze,ADVANCED,10,-1
Discloze,EXHAUST,17,6177
The willow and snow,NOVICE,3,-1
The willow and snow,ADVANCED,8,-1
The willow and snow,EXHAUST,14,3895
ON FIRE,NOVICE,4,-1
ON FIRE,ADVANCED,8,-1
ON FIRE,EXHAUST,15,4602
Our Faith (takdrive remix),NOVICE,4,-1
Our Faith (takdrive remix),ADVANCED,10,-1
Our Faith (takdrive remix),EXHAUST,16,5673
Milkyway - memorable -,NOVICE,5,-1
Milkyway - memorable -,ADVANCED,10,-1
Milkyway - memorable -,EXHAUST,16,5124
Happy Sensation,NOVICE,5,-1
Happy Sensation,ADVANCED,11,-1
Happy Sensation,EXHAUST,17,6084
シリョクケンサ,NOVICE,2,-1
シリョクケンサ,ADVANCED,7,-1
シリョクケンサ,EXHAUST,12,3043
ELECT,NOVICE,3,-1
ELECT,ADVANCED,8,-1
ELECT,EXHAUST,15,4260
パ→ピ→プ→Yeah!,NOVICE,6,-1
パ→ピ→プ→Yeah!,ADVANCED,12,-1
パ→ピ→プ→Yeah!,EXHAUST,17,5456
EBONY & IVORY,NOVICE,5,-1
EBONY & IVORY,ADVANCED,11,-1
EBONY & IVORY,EXHAUST,17,4847
One & Only,NOVICE,3,-1
One & Only,ADVANCED,8,-1
One & Only,EXHAUST,16,4671
Lovesick Lovetune,NOVICE,3,-1
Lovesick Lovetune,ADVANCED,8,-1
Lovesick Lovetune,EXHAUST,13,3658
Pon-Pon-Pompoko Dai-Sen-Saw!,NOVICE,6,-1
Pon-Pon-Pompoko Dai-Sen-Saw!,ADVANCED,12,-1
Pon-Pon-Pompoko Dai-Sen-Saw!,EXHAUST,18,6293
時計仕掛けのメリーゴーランド,NOVICE,4,-1
時計仕掛けのメリーゴーランド,ADVANCED,9,-1
時計仕掛けのメリーゴーランド,EXHAUST,13,4746
好きトキメキとキス,NOVICE,5,-1
好きトキメキとキス,ADVANCED,11,-1
好きトキメキとキス,EXHAUST,15,5175
無双,NOVICE,5,-1
無双,ADVANCED,11,-1
無双,EXHAUST,17,6867
Wuv U(pico/ustic rmx),NOVICE,5,-1
Wuv U(pico/ustic rmx),ADVANCED,11,-1
Wuv U(pico/ustic rmx),EXHAUST,16,5039
Monkey Business(Band Edit.),NOVICE,4,-1
Monkey Business(Band Edit.),ADVANCED,10,-1
Monkey Business(Band Edit.),EXHAUST,16,5797
The Wind of Gold(飛翔鳶 Remix),NOVICE,3,-1
The Wind of Gold(飛翔鳶 Remix),ADVANCED,8,-1
The Wind of Gold(飛翔鳶 Remix),EXHAUST,13,4861
"gigadelic (かめりあ's ""The TERA"" RMX)",NOVICE,6,-1
"gigadelic (かめりあ's ""The TERA"" RMX)",ADVANCED,13,3665
"gigadelic (かめりあ's ""The TERA"" RMX)",EXHAUST,18,6653
ロンロンへ　ライライライ！,NOVICE,4,-1
ロンロンへ　ライライライ！,ADVANCED,10,-1
ロンロンへ　ライライライ！,EXHAUST,16,5299
ロンロンへ　ライライライ！,GRAVITY,17,5904
Crazy ∞ nighT,NOVICE,3,-1
Crazy ∞ nighT,ADVANCED,8,-1
Crazy ∞ nighT,EXHAUST,15,5423
感情の魔天楼 ～ Arr.Demetori,NOVICE,5,-1
感情の魔天楼 ～ Arr.Demetori,ADVANCED,11,-1
感情の魔天楼 ～ Arr.Demetori,EXHAUST,17,7060
Innocent Eyes,NOVICE,3,-1
Innocent Eyes,ADVANCED,8,-1
Innocent Eyes,EXHAUST,13,5212
あれこれそれどれ,NOVICE,4,-1
あれこれそれどれ,ADVANCED,10,-1
あれこれそれどれ,EXHAUST,17,6230
Princessどうかお願い!!,NOVICE,4,-1
Princessどうかお願い!!,ADVANCED,9,-1
Princessどうかお願い!!,EXHAUST,15,4535
New Days,NOVICE,4,-1
New Days,ADVANCED,10,-1
New Days,EXHAUST,15,4228
disco KAWAii,NOVICE,4,-1
disco KAWAii,ADVANCED,9,-1
disco KAWAii,EXHAUST,14,4428
Twin Blaster,NOVICE,5,-1
Twin Blaster,ADVANCED,11,-1
Twin Blaster,EXHAUST,16,5381
INF-B《L-aste-R》,NOVICE,6,-1
INF-B《L-aste-R》,ADVANCED,12,-1
INF-B《L-aste-R》,EXHAUST,18,6836
INF-B《L-aste-R》,VIVID,19,7621
In The Breeze,NOVICE,5,-1
In The Breeze,ADVANCED,11,-1
In The Breeze,EXHAUST,16,3963
Innocent Floor,NOVICE,6,-1
Innocent Floor,ADVANCED,12,-1
Innocent Floor,EXHAUST,17,6275
Sounds Of Summer,NOVICE,5,-1
Sounds Of Summer,ADVANCED,12,-1
Sounds Of Summer,EXHAUST,16,5371
BOUNCE BOUNCE BOUNCE,NOVICE,3,-1
BOUNCE BOUNCE BOUNCE,ADVANCED,8,-1
BOUNCE BOUNCE BOUNCE,EXHAUST,13,3397
ネメシス SDVX Edit,NOVICE,5,-1
ネメシス SDVX Edit,ADVANCED,11,-1
ネメシス SDVX Edit,EXHAUST,17,6317
シャ ビ ドゥ 素敵な恋の魔法,NOVICE,4,-1
シャ ビ ドゥ 素敵な恋の魔法,ADVANCED,10,-1
シャ ビ ドゥ 素敵な恋の魔法,EXHAUST,15,4599
Opium and Purple haze,NOVICE,5,-1
Opium and Purple haze,ADVANCED,10,-1
Opium and Purple haze,EXHAUST,17,5108
Opium and Purple haze,GRAVITY,18,5440
リカーシブ・ファンクション,NOVICE,5,-1
リカーシブ・ファンクション,ADVANCED,11,-1
リカーシブ・ファンクション,EXHAUST,15,4011
灼熱Beach Side Bunny,NOVICE,6,-1
灼熱Beach Side Bunny,ADVANCED,12,-1
灼熱Beach Side Bunny,EXHAUST,18,5105
ΕΛΠΙΣ,NOVICE,5,-1
ΕΛΠΙΣ,ADVANCED,11,-1
ΕΛΠΙΣ,EXHAUST,17,6382
